Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2015-03-05,,,,207,38,,,,,,,,,,,5.4
Lower Granite,2015-03-06,,,,169,47,,,,,,,,,,,5.5
Lower Granite,2015-03-07,,,,139,39,,,,,,,,,,,5.6
Lower Granite,2015-03-08,,,,108,44,,,,,,,,,,,5.6
Lower Granite,2015-03-09,,,,42,10,,,,,,,,,,,5.4
Lower Granite,2015-03-10,,,,51,18,,,,,,,,,,,5.2
Lower Granite,2015-03-11,,,,40,15,,,,,,,,,,,5.3
Lower Granite,2015-03-12,,,,133,49,,,,,,,,,,,5.8
Lower Granite,2015-03-13,,,,240,78,,,,,,,,,,,6.4
Lower Granite,2015-03-14,,,,761,245,,,,,,,,,,,6.6
Lower Granite,2015-03-15,,,,887,362,,,,,,,,,,,7.1
Lower Granite,2015-03-16,,,,295,120,,,,,,,,,,,7.8
Lower Granite,2015-03-17,Sp,,,255,95,,,,,,,,,,,7.7
Lower Granite,2015-03-18,Sp,,,326,141,,,,,,,,,,,8
Lower Granite,2015-03-19,Sp,,,216,94,,,,,,,,,,,8.3
Lower Granite,2015-03-20,Sp,,,549,249,,,,,,,,,,,8.4
Lower Granite,2015-03-21,Sp,,,598,286,,,,,,,,,,,8.2
Lower Granite,2015-03-22,Sp,,,251,135,,,,,,,,,,,8.3
Lower Granite,2015-03-23,Sp,1,,223,131,,,,,,,,,,,8.4
Lower Granite,2015-03-24,Sp,,,213,110,,,,,,,,,,,8.5
Lower Granite,2015-03-25,Sp,,,156,85,,,,,,,,,,,8.6
Lower Granite,2015-03-26,Sp,1,,165,77,,,,,,,,,,,8.5
Lower Granite,2015-03-27,Sp,2,,330,165,,,,,,,,,,,8.5
Lower Granite,2015-03-28,Sp,1,,237,119,,,,,,,,,,,8.1
Lower Granite,2015-03-29,Sp,,,203,115,,,,,,,,,,,8.2
Lower Granite,2015-03-30,Sp,-1,,112,62,,,,,,,,,,,8.9
Lower Granite,2015-03-31,Sp,2,,212,128,,,,,,,,,,,9.2
Lower Granite,2015-04-01,Sp,,,144,73,,,,,,,,,,,9.1
Lower Granite,2015-04-02,Sp,,,101,47,,,,,,,,,,,8.9
Lower Granite,2015-04-03,Sp,1,,172,90,,,,,,,,,,,9
Lower Granite,2015-04-04,Sp,5,,183,106,,,,,,,,,,,8.8
Lower Granite,2015-04-05,Sp,,,92,54,,,,,,,,,,,8.5
Lower Granite,2015-04-06,Sp,1,,99,52,,,,,,,,,,,8.3
Lower Granite,2015-04-07,Sp,5,,55,38,,,,,,,,,,,8.2
Lower Granite,2015-04-08,Sp,8,,76,53,,,,,,,,,,,8.3
